# PROVENANCE MAP — one row per ledger section (§685.5 / §687; machine-derived, ADDITIVE, never a rewrite of history)
# status: OPUS-TEXT/FABLE-TEXT = the section's own header names a seat · TRAILER-* = recovered from the
# introducing commit's Co-Authored-By (the §685.5(ii) route, validated 26/28 at the §238–§274 boundary)
# UNKNOWN = neither channel names a seat — these are what the owner's rule leaves genuinely owed.
#   reproduces every committed row byte-for-byte — see tests/scripts/provenanceMap.test.js arm 1)
# Regenerate: node scripts/audit/provenance-map.mjs --map docs/PROVENANCE_MAP.tsv --write docs/PROVENANCE_MAP.tsv
# Walked at: refs/heads/review-fixes-2026-07-08 = d6828148df837d5dc0ccc7ed742197dd13b65a9c (rows are ADDITIVE; the generator REFUSES to write unless it first
#   reproduces every committed row byte-for-byte — see tests/scripts/provenanceMap.test.js arm 1)
section	odq_line	status	trailer	intro_commit	discharge	header
§14	571	TRAILER-FABLE	Fable 5	4d60200fd		§14 · ⚠ TWO THINGS THE SAME-SEED REPAIR LEAVES FOR YOU (2026-08-11, landed `0f85ced0`)
§15	614	TRAILER-FABLE	Fable 5	7e9e6306c		§15 · TWO THINGS FROM THE DISPLAY CLUSTER (2026-08-11, landed `73f00920`)
§16	732	TRAILER-FABLE	Fable 5	005d8cdf9		§16 · ⛔⛔ THE ESPIONAGE PRODUCT INTENT IS NOT DELIVERABLE AS DESIGNED (2026-08-11)
§17	773	TRAILER-FABLE	Fable 5	3a0337eb2		§17 · ⭐⭐ THE 2026-08-11 REFRESHED GRANT, AND THE CHAIR'S DISPOSITIONS (vetoable)
§18	854	UNKNOWN	NONE	fa2c5a160		§18 · THE CORPUS-COVERAGE MINT CHARTER IS RULED (2026-08-12 ~19:55, CR-AO-1..7 — vetoable)
§19	903	UNKNOWN	NONE	b6e3a44b5		§19 · GR-4c IS RULED COMPILABLE AND PROMOTING (2026-08-12 ~20:20, CR-GR4C-1..6 — vetoable)
§20	971	UNKNOWN	NONE	a11645ea5		§20 · THE MACHINERY + PROSE BATCHES ARE RULED (2026-08-12 ~21:55, CR-AR-1..9 — vetoable)
§21	1014	UNKNOWN	NONE	c38e9e245		§21 · THE SCHEMA COLLISION IS RULED; H26 OWNS 7 AND AO-0 MOVES TO 8 (2026-08-12 ~23:20, CR-H26-1..4 / CR-AO-8.
§22	1070	UNKNOWN	NONE	1ed18d27c		§22 · UNIVERSAL STANDING AUTHORIZATION — CURRENT (2026-08-13 ~01:45, owner ruling)
§23	1103	UNKNOWN	NONE	e7d66ccec		§23 · AO-2 AND AO-3 FORM ONE ATOMIC CONTRACT→CURE TRAIN (2026-08-13 ~07:20, CR-AO-11 — delegated manager rulin
§24	1141	TRAILER-FABLE	Fable 5	8cc73e72c		§24 · THE TERMINAL MOVES THROUGH THE FIRST DIAGNOSTIC SOAK AND ITS REPAIRS (2026-08-14 ~01:55, owner ruling, i
§25	1172	TRAILER-FABLE	Fable 5	5f8b9990e		§25 · THE FOUR-LANE PARALLELISM ORDER AND THE 20-MINUTE KEEPER TICK (2026-08-14 ~02:05, owner ruling, in-chat)
§26	1196	TRAILER-FABLE	Fable 5	9b9a88b14		§26 · IP-PROTECTION ARCHITECTURE ASK (owner, 2026-08-14 ~02:25, in-chat)
§27	1241	TRAILER-FABLE	Fable 5	b93051279		§27 · THE BUILD-EVERYTHING ORDERING (owner correction, 2026-08-14 ~04:05, in-chat)
§28	1269	TRAILER-FABLE	Fable 5	f24958a20		§28 · BUILD-EFFICIENCY LAW FOR THE REMAINING WAVES (chair ruling, 2026-08-14 ~04:20, vetoable; answers the own
§29	1313	TRAILER-FABLE	Fable 5	690875f36		§29 · THE GR-4B-II TRAIN IS RULED (2026-08-14 ~06:25, CR-GR4B-16..19 — one veto surface per §28's batching law
§30	1346	TRAILER-FABLE	Fable 5	9dd77d954		§30 · THE INFRA-1 TRAIN IS RULED (2026-08-14 ~09:05, chair, vetoable)
§31	1368	TRAILER-FABLE	Fable 5	e532bcecf		§31 · THE §8 EFFICIENCY REVIEW — TWO TRAINS AUDITED (2026-08-14 ~10:45, chair; the review DESIGN_BUILD_EFFICIE
§32	1393	TRAILER-FABLE	Fable 5	376d3aa0b		§32 · GAP-1 IS RULED ON THE G2 RESTAMP (2026-08-14 ~11:15, chair, vetoable)
§33	1422	TRAILER-FABLE	Fable 5	e7bbd6c5a		§33 · GAP-1 NAMING AND CLOSE-OUT RULINGS (2026-08-14 ~13:00, chair, vetoable)
§34	1440	TRAILER-FABLE	Fable 5	71b2439ba		§34 · THE GR-6 TRAIN IS RULED (2026-08-14 ~15:10, chair, vetoable)
§35	1469	TRAILER-FABLE	Fable 5	ec86e0905		§35 · GR-6 STOPPED AT P1 — RATIFIED; THE PIPELINE PIVOTS TO HB (2026-08-14 ~16:00, chair, vetoable)
§36	1500	TRAILER-FABLE	Fable 5	98c817c92		§36 · THE HB-1 TRAIN IS RULED (2026-08-14 ~16:50, chair, vetoable; one sitting per §5)
§37	1523	TRAILER-FABLE	Fable 5	db4ed0344		§37 · RUN TO THE END; ALL PERMISSION POP-UPS PRE-GRANTED (owner ruling, 2026-08-14 ~18:05, in-chat)
§38	1551	TRAILER-FABLE	Fable 5	5c1c5ec57		§38 · HB-1 REFUTED; THE HB-0 PREFIX LANDS; A NEW PREAMBLE LAW (2026-08-14 ~19:30, chair, vetoable)
§39	1580	TRAILER-FABLE	Fable 5	44b8c7e2c		§39 · THE HB-1′ RE-CHARTER IS RULED (2026-08-14 ~21:45, chair, vetoable; one sitting per §5)
§40	1601	TRAILER-FABLE	Fable 5	71f6a09c5		§40 · THE INFRA-2 TRAIN IS RULED (2026-08-14 ~22:30, chair, vetoable; one sitting per §5; full evidence in lan
§41	1626	TRAILER-FABLE	Fable 5	6829d137a		§41 · THE HB-2 TRAIN IS RULED (2026-08-15 ~02:15, chair, vetoable; one sitting per §5; full evidence in laneTC
§42	1651	TRAILER-FABLE	Fable 5	f8d4743b7		§42 · HB-2 STOPPED PRE-P1 ON R31; ROAD B IS RULED (2026-08-15 ~03:20, chair, vetoable; full evidence in laneTE
§43	1676	TRAILER-FABLE	Fable 5	b0df70ba9		§43 · HB-2B IS RULED; THE THREE BOUND VALUES ARE CHAIR-SIGNED (2026-08-15 ~04:40, chair, vetoable; derivations
§44	1704	TRAILER-FABLE	Fable 5	ab62172d5		§44 · R35 RATIFIED; ROAD A (SPLIT PROMOTION) IS RULED (2026-08-15 ~05:40, chair, vetoable; probes banked besid
§45	1729	TRAILER-FABLE	Fable 5	4954d1b75		§45 · TWO FINAL EFFICIENCY LEVERS ADOPTED; THE CAP IS DECLARED (2026-08-15 ~06:20, chair ruling on the owner's
§46	1747	TRAILER-FABLE	Fable 5	c9db579e5		§46 · OWNER DIRECTIVE: THE LOGISTICS NETWORK — TELEPORTATION CIRCLES AND AIRSHIPS (2026-08-15 ~08:30, in-chat,
§47	1941	TRAILER-FABLE	Fable 5	36ac99b9c		§47 · GR-5A IS RULED (2026-08-15 ~16:10, chair, vetoable; one sitting; evidence in laneTC11-report.md)
§48	1964	TRAILER-FABLE	Fable 5	0150899b9		§48 · THE FULL-LANES + CURE-ARCHITECTURE DOCTRINE (owner order, 2026-08-15 ~17:30, in-chat, verbatim intent)
§49	1991	TRAILER-FABLE	Fable 5	66f99b494		§49 · GR-5A'S I1 STOP RATIFIED; THE FLAG-MINT SEVENTH-PATH LAW (2026-08-15 ~18:40, chair, vetoable; evidence i
§50	2027	TRAILER-FABLE	Fable 5	96c1fe16e		§50 · GR-5A'S SECOND STOP RATIFIED; THE FLAG-MINT LAW COMPLETES AT THREE OBLIGATIONS (2026-08-15 ~21:50, chair
§51	2057	TRAILER-FABLE	Fable 5	4d1474362		§51 · THE COMPREHENSIVE COHERENCE REVIEW IS CHARTERED (owner order, 2026-08-15 ~23:40, in-chat, verbatim inten
§52	2133	TRAILER-FABLE	Fable 5	7d4b01de4		§52 · THE WC CURES ARE RULED; WC-0 OPENS (2026-08-16 ~03:20, chair, vetoable; evidence in laneWCC-cures.md + l
§53	2161	TRAILER-FABLE	Fable 5	ab702b988		§53 · THE INTENT AUDIT'S DISPOSITIONS (2026-08-16 ~04:00, chair, vetoable; the audit: laneRINT-intent-audit.md
§54	2194	TRAILER-FABLE	Fable 5	8d34781ef		§54 · INT-3B IS RULED (2026-08-16 ~05:00, chair, vetoable; evidence in laneTC12-report.md)
§55	2216	TRAILER-FABLE	Fable 5	d43f88a68		§55 · IN-1C-A IS RULED (2026-08-16 ~06:20, chair, vetoable; one sitting per §5; evidence in laneTC13-TRAIN-PLA
§56	2241	TRAILER-FABLE	Fable 5	5fcc076ab		§56 · THE ESTATE SELF-AUDIT RULED; THE ESTATE-REPAIR TRAIN CHARTERED (2026-08-16 ~07:10, chair, vetoable; evid
§57	2266	TRAILER-FABLE	Fable 5	54bccde34		§57 · THE VOCABULARY AUDIT RULED (2026-08-16 ~08:00, chair, vetoable; evidence in laneRVOC-vocab-audit.md; tal
§58	2295	TRAILER-FABLE	Fable 5	9dddba5a9		§58 · INT-3B'S STOP RATIFIED; THE RELAND ORDERED (2026-08-16 ~09:00, chair, vetoable; evidence in laneTE12-rec
§59	2319	TRAILER-FABLE	Fable 5	d6ea92245		§59 · THE WC-0 TRAIN IS RULED (2026-08-16 ~10:10, chair, vetoable; evidence in laneTC14-report.md; CLAIM_RE 0 
§60	2347	TRAILER-FABLE	Fable 5	c80cf37d0		§60 · EST-1 RULED ON THE CORRECTED CURES (2026-08-16 ~11:20, chair, vetoable; evidence in laneTC15-report.md, 
§61	2377	TRAILER-FABLE	Fable 5	8905e9466		§61 · THE RE-SWEEP CADENCE BECOMES LAW (2026-08-16 ~12:00, chair ruling on the owner's question, vetoable)
§62	2392	TRAILER-FABLE	Fable 5	de231a627		§62 · THE SECURITY DIMENSION RULED (2026-08-16 ~12:40, chair, vetoable; evidence in laneRSEC-security-audit.md
§63	2422	TRAILER-FABLE	Fable 5	31e5f5a6d		§63 · THE PRE-CODING QUESTION RULED, OWNER-RATIFIED (2026-08-15, owner: "do what you recommend" on the chair's
§64	2441	TRAILER-FABLE	Fable 5	31e5f5a6d		§64 · THE RN-C CURE RULED — THE RELATIONSHIP-NORMALIZER FORK (2026-08-15, chair, vetoable; evidence in laneRNC
§65	2491	TRAILER-FABLE	Fable 5	61bc57c1b		§65 · INT-3B COLLECTED AND EXPOSED — THE ELEVENTH EXPOSURE (2026-08-15, chair; evidence in laneTE12-receipt.md
§66	2521	TRAILER-FABLE	Fable 5	f54743ebe		§66 · THE PERSISTENCE/LIFECYCLE DIMENSION RULED (2026-08-15, chair, vetoable; evidence in laneRPLC-persistence
§67	2562	TRAILER-FABLE	Fable 5	289915482		§67 · THE CROSS-LAYER SEMANTICS DIMENSION RULED (2026-08-15, chair, vetoable; evidence in laneRXLS-crosslayer-
§68	2607	TRAILER-FABLE	Fable 5	edb226434		§68 · THE LAW-BODY DIMENSION RULED (2026-08-15, chair, vetoable; evidence in laneRLAW-lawbody-audit.md + laneR
§69	2648	TRAILER-FABLE	Fable 5	edb226434		§69 · THE PRODUCT-SURFACES DIMENSION RULED (2026-08-15, chair, vetoable; evidence in laneRPSF-product-audit.md
§70	2683	TRAILER-FABLE	Fable 5	b2f69baec		§70 · THE FABLE FINAL ROUND (owner directive, 2026-08-15, in-chat; operative reading recorded by the chair)
§71	2735	TRAILER-FABLE	Fable 5	426e5603e		§71 · THE PUSH PROGRAM RULED — PR CADENCE AND THE AUDIT-ZERO GATE (owner, two orders 2026-08-15 in-chat; opera
§72	2815	TRAILER-FABLE	Fable 5	f5f4d4abf		§72 · THE CORRECTNESS DIMENSION RULED (2026-08-15, chair, vetoable; evidence in laneRCSA-correctness-audit.md 
§73	2846	TRAILER-FABLE	Fable 5	f5f4d4abf		§73 · THE WC FABLE ROUND ACCEPTED — wc-0 UNBLOCKED (2026-08-15, chair, vetoable; evidence in laneWCF-round.md 
§74	2869	TRAILER-FABLE	Fable 5	f5f4d4abf		§74 · TRAIN THROUGHPUT LAW — the owner's whole-family question RULED (2026-08-15, chair, vetoable; answers "wh
§75	2897	TRAILER-FABLE	Fable 5	181cd126e		§75 · IN-1C-A: J-TE13-4 RULED — OPTION 2 (2026-08-15, chair, vetoable; evidence in laneTE13-receipt.md §4.3, t
§76	2928	TRAILER-FABLE	Fable 5	86fa8d33e		§76 · §74 IMPLEMENTED — THE eff-1 CHARTER (2026-08-15, chair, executing the owner's verbatim order to "archite
§77	2960	TRAILER-FABLE	Fable 5	5e2901861		§77 · RE-CHARTER REDUNDANCY RULED (2026-08-15, chair, vetoable; on the owner's question "can we create a redun
§78	2987	TRAILER-FABLE	Fable 5	5e2901861		§78 · THE WF FABLE ROUND ACCEPTED — WITH ITS ABSORPTION GAP CURED IN THIS ACT (2026-08-15, chair, vetoable; ev
§79	3019	TRAILER-FABLE	Fable 5	c52e79822		§79 · §77 IMPLEMENTED AND PROVEN (2026-08-15, chair, executing the owner's verbatim implement order; evidence 
§80	3044	TRAILER-FABLE	Fable 5	c52e79822		§80 · THE GENERATION-QUALITY DIMENSION RULED (2026-08-15, chair, vetoable; evidence in laneRGEN-generation-aud
§81	3084	TRAILER-FABLE	Fable 5	fceff428b		§81 · THE LAST THREE EFFICIENCY LEVERS (2026-08-15, chair, vetoable; on the owner's "anything else... without 
§82	3113	TRAILER-FABLE	Fable 5	2cea76297		§82 · PR #49 CI REDS — CLEAN-ROOM REPRO GREEN, DIVERGENCE HUNT LIVE (2026-08-15, chair; evidence laneCI-repro.
§83	3136	TRAILER-FABLE	Fable 5	f126f9e60		§83 · THE R-EFF AUDIT COLLECTED — THE STACK HARDENS BEFORE FIRST USE (2026-08-15, chair, vetoable; evidence la
§84	3175	TRAILER-FABLE	Fable 5	2fbd8a7ee		§84 · THE PERFORMANCE DIMENSION RULED — THE GOODS-MATCHER FINDING (2026-08-15, chair, vetoable; evidence laneR
§85	3215	TRAILER-FABLE	Fable 5	3dfc373bc		§85 · IN-1C-A'S SECOND STOP RULED — AND THE REGISTRY-MINT TWO-OBLIGATION LAW (2026-08-15, chair, vetoable; evi
§86	3260	TRAILER-FABLE	Fable 5	1316477f8		§86 · THE CURE PASS ACCEPTED — eff-1a/eff-1b UNBLOCKED (2026-08-15, chair, vetoable; evidence = the laneREFF a
§87	3297	TRAILER-FABLE	Fable 5	47717adec		§87 · THE DOCS/OPS/MARKET DIMENSION RULED — §51'S LAST SURVEY (2026-08-15, chair, vetoable; evidence laneRDOM-
§88	3332	TRAILER-FABLE	Fable 5	47717adec		§88 · THE §51 COMPREHENSIVE REVIEW — CHAIR SYNTHESIS (2026-08-15; the integrated verdict over all fourteen dim
§89	3380	TRAILER-FABLE	Fable 5	e7a8d329a		§89 · THE CI DIVERGENCE RULED — AND §82'S CLAIM CORRECTED (2026-08-15, chair, vetoable; evidence laneCIX-audit
§90	3416	TRAILER-FABLE	Fable 5	6d49c0f59		§90 · IN-1C-A COLLECTED AND EXPOSED — THE TWELFTH EXPOSURE (2026-08-15, chair; evidence laneTE14-receipt.md bo
§91	3459	TRAILER-FABLE	Fable 5	d366dcb1b		§91 · THE EP FABLE ROUND ACCEPTED — AND THE SINGLE-MEMBER LAW RELAXED (2026-08-15, chair, vetoable; evidence l
§92	3494	TRAILER-FABLE	Fable 5	c1bba3691		§92 · THE POP ROUND ACCEPTED — THE CERTIFICATION-PATTERN STANDING CURE, AND THE LG BLOCKAGE NARROWED (2026-08-
§93	3529	TRAILER-FABLE	Fable 5	5d5c3aa40		§93 · THE INT ROUND ACCEPTED (2026-08-15, chair, vetoable; evidence laneINTF-round.md + laneINTF-report.md, ba
§94	3561	TRAILER-FABLE	Fable 5	8df2a418e		§94 · THE WY ROUND ACCEPTED — AND THE WY SITTING CLOSED IN ONE ACT (2026-08-15, chair, vetoable; evidence lane
§95	3601	TRAILER-FABLE	Fable 5	dd888a6ad		§95 · est-1 COLLECTED AT ITS GREEN PREFIX — THE THIRTEENTH EXPOSURE, AND CR-EST-CONTROLZERO (2026-08-15, chair
§96	3638	TRAILER-FABLE	Fable 5	f871ecad2		§96 · THE TAILS ROUND ACCEPTED — THE §70 PROGRAM IS COMPLETE (2026-08-15, chair, vetoable; evidence laneTLF-ro
§97	3680	TRAILER-FABLE	Fable 5	558cbb7cb		§97 · est-1c COLLECTED AND EXPOSED — ZERO ORDINARY DEBT, THE FOURTEENTH EXPOSURE (2026-08-15, chair; evidence 
§98	3715	TRAILER-FABLE	Fable 5	dac46e452		§98 · eff-1a COLLECTED AND EXPOSED — THE MACHINERY IS IN THE TREE (2026-08-15, chair; evidence laneTE16-receip
§99	3752	TRAILER-FABLE	Fable 5	96dde4a7b		§99 · THE WC-0 RE-BASE COLLECTED — DISPATCH-READY, AND R1'S SECOND SLOT FILLED (2026-08-15, chair, vetoable; e
§100	3788	TRAILER-FABLE	Fable 5	9c5998916		§100 · eff-1b COLLECTED AND EXPOSED — THE INFRA ERA CLOSES, wc-0 RUNS (2026-08-15, chair; evidence laneTE16-re
§101	3825	TRAILER-FABLE	Fable 5	97d27a696		§101 · THE rn-1 COMPILE ACCEPTED — R1 HOLDS, AND DOOR 1 OPENS (2026-08-15, chair, vetoable; evidence laneTC18-
§102	3860	TRAILER-FABLE	Fable 5	de23254f5		§102 · wc-0 COLLECTED AND EXPOSED — THE WC FAMILY'S FIRST CODE, THE SEVENTEENTH EXPOSURE (2026-08-15, chair; e
§103	3892	TRAILER-FABLE	Fable 5	ecfa273d6		§103 · WC-0E COLLECTED AND EXPOSED — THE EIGHTEENTH EXPOSURE, AND THE UNGATED-PERSISTENCE LAW (2026-08-15, cha
§104	3925	TRAILER-FABLE	Fable 5	163a96eff		§104 · rn-1 COLLECTED AND EXPOSED — THE ALIAS CURE IS IN, THE NINETEENTH EXPOSURE (2026-08-15, chair; evidence
§105	3961	TRAILER-FABLE	Fable 5	e6ea57180		§105 · THE prf-1 COMPILE ACCEPTED — A RESTORATION, NOT A DESIGN (2026-08-15, chair, vetoable; evidence laneTC1
§106	3996	TRAILER-FABLE	Fable 5	51ec5a103		§106 · THE NINE-VOLUME STALE-SITE SITTING EXECUTED (2026-08-15, chair; evidence laneSTS-consolidated.md + lane
§107	4020	TRAILER-FABLE	Fable 5	06aed9c7e		§107 · THE cs+gen-1 COMPILE ACCEPTED — THREE SIGNATURES, AND prf-1 RUNS (2026-08-15, chair, vetoable; evidence
§108	4051	TRAILER-FABLE	Fable 5	724535234		§108 · prf-1 COLLECTED AND EXPOSED — THE SOAK PREREQUISITE LANDS, THE TWENTIETH EXPOSURE (2026-08-15, chair; e
§109	4085	TRAILER-FABLE	Fable 5	3bc664dcf		§109 · THE TOTAL REVIEW PHASE — OWNER-ORDERED (2026-08-15, verbatim, in-chat; the operative charter recorded b
§110	4129	TRAILER-FABLE	Fable 5	7fbcb8162		§110 · cs-a COLLECTED RED-AND-LAWFUL — THE DECLARED-SHIFT RE-RECORD LAW AMENDED (2026-08-15, chair, vetoable; 
§111	4170	TRAILER-FABLE	Fable 5	f530aa773		§111 · CS-B0 COLLECTED — THE NULL-LATCH KILLED; THE HONEST STOP RATIFIED; TE21 FINISHES (2026-08-15, chair; ev
§112	4201	TRAILER-FABLE	Fable 5	a0ea18073		§112 · THE DECLARED-SHIFT BATCH CLOSED AND EXPOSED — THE TWENTY-FIRST EXPOSURE (2026-08-15, chair; evidence la
§113	4237	TRAILER-FABLE	Fable 5	b8ae6a28e		§113 · THE da COMPILE ACCEPTED — THREE MIS-SPECIFICATIONS CURED AT COMPILE (2026-08-15, chair, vetoable; evide
§114	4275	TRAILER-FABLE	Fable 5	b65da82e3		§114 · P6 DECIDED ON NEW EVIDENCE — THE GUARD-VACUITY BURN OPENS (2026-08-15, chair, vetoable; on the owner's 
§115	4307	TRAILER-FABLE	Fable 5	6c779499c		§115 · THE dom COMPILE ACCEPTED — DOM-3 HELD AT THE OWNER'S OWN GATE (2026-08-15, chair, vetoable; evidence la
§116	4343	TRAILER-FABLE	Fable 5	eb689e828		§116 · GUARD-BURN TRANCHE ONE ACCEPTED — FIVE CONVICTIONS, AND THE CLASS-FOLD RULING (2026-08-15, chair, vetoa
§117	4374	TRAILER-FABLE	Fable 5	6bba9ce1a		§117 · THE TELEMETRY/ANALYTICS BUILD UN-PARKED — COLLECTION FROM FIRST LAUNCH (owner, verbatim, 2026-08-15: "I
§118	4424	TRAILER-FABLE	Fable 5	681086e38		§118 · THE NEVER-SOLD ATTESTATION — DOM-3 UNBLOCKS (owner, verbatim, 2026-08-15: "also no founder seats have b
§119	4447	TRAILER-FABLE	Fable 5	b76ccda44		§119 · THE RIBBON/V5 PROGRAM RE-ENTERS — BUILD DEFERRED POST-TUNE (owner, 2026-08-15: "the arrow, we had some 
§120	4470	TRAILER-FABLE	Fable 5	e58e25c75		§120 · THE tm CHARTER ACCEPTED — GAP-CLOSURE, NOT CONSTRUCTION (2026-08-15, chair, vetoable; evidence laneTMC-
§121	4504	TRAILER-FABLE	Fable 5	8720219e8		§121 · THE V5 COUNSEL BANKED — AND THE TRANSCRIPT-REPLAY RECOVERY (2026-08-15, chair; evidence laneV5C-V5-SPEC
§122	4532	TRAILER-FABLE	Fable 5	aa7d09343		§122 · da-a's PREFIX COLLECTED AND EXPOSED — THE TWENTY-SECOND EXPOSURE (2026-08-15, chair; evidence laneTE22-
§123	4559	TRAILER-FABLE	Fable 5	a595edc28		§123 · da-b COLLECTED UNEXPOSED — THE FILTER-RETIREMENT MINT RULED (2026-08-15, chair, vetoable; evidence lane
§124	4590	TRAILER-FABLE	Fable 5	3278ad2ab		§124 · THE CAVEAT DISCHARGED BY EXECUTION — TE23 CUTS THE MINT (2026-08-15, chair; evidence laneTE22-receipt.m
§125	4617	TRAILER-FABLE	Fable 5	75d8f070c		§125 · FIVE LG DIRECTIVES — TRADE CIRCLES, CONFISCATION REPLENISHMENT, CARAVAN NEWS CHAINS, SIZE-SCALED SPEED,
§126	4683	TRAILER-FABLE	Fable 5	b1cab621b		§126 · THE WAR CONSOLE DIRECTIVE (owner, 2026-08-15, verbatim in-chat; the design direction recorded, the char
§127	4733	TRAILER-FABLE	Fable 5	7648a7344		§127 · da-b + da-c COLLECTED AND EXPOSED — THE TWENTY-THIRD EXPOSURE; THE DISPLAY FAMILY CLOSES AT FIVE OF SIX
§128	4766	TRAILER-FABLE	Fable 5	3eb393e5d		§128 · THE STRESSOR PIN (owner directive 2026-08-15 + the chair's design direction, vetoable; the owner's fork
§129	4864	TRAILER-FABLE	Fable 5	00e3175d5		§129 · THE UNIVERSAL COMMITMENT LAW AND THE TWO-HAT LAW (owner directives 2026-08-15 generalizing §128b estate
§130	4901	TRAILER-FABLE	Fable 5	c0b78e925		§130 · THE cn FAMILY BUILD ORDERED AND SLOTTED (owner, 2026-08-15: "Comprehensively, exhaustively, carefully, 
§131	4925	TRAILER-FABLE	Fable 5	cc388a601		§131 · THE PORTABILITY PRINCIPLE NAMED (owner rationale, 2026-08-15 — the WHY under the finite-semantics const
§132	4941	TRAILER-FABLE	Fable 5	cc388a601		§132 · THE cn CHARTER ACCEPTED AND BANKED (2026-08-15, chair, vetoable; evidence laneCNC-CN-CHARTER.md + laneC
§133	4968	TRAILER-FABLE	Fable 5	af6f44cb5		§133 · THE "AM I MISSING ANYTHING" SWEEP — FIVE UNOWNED ITEMS (2026-08-15, chair; everything else confirmed ow
§134	5016	TRAILER-FABLE	Fable 5	74bb5fdde		§134 · THE dom TRAIN COLLECTED AND EXPOSED — THE TWENTY-FOURTH EXPOSURE; THE FOUNDERS RULING IS LIVE COPY (202
§135	5051	TRAILER-FABLE	Fable 5	99c73b7ed		§135 · REALISM ERRATUM — THE OWNER'S CHALLENGE SUSTAINED ON MISINFORMATION (2026-08-16, chair; verified agains
§136	5077	TRAILER-FABLE	Fable 5	1c6945eaf		§136 · THE CONTAGION DIRECTIVE — VERIFY THEN BUILD (owner, 2026-08-16, verbatim design recorded; lane PG-C dis
§137	5102	TRAILER-FABLE	Fable 5	5af9f97ab		§137 · THE MICRO-BATCH COMPILE ACCEPTED — FIVE TRAINS, ONE PREMISE DEATH, ONE CEILING CATCH (2026-08-16, chair
§138	5134	TRAILER-FABLE	Fable 5	ffb626d39		§138 · THE CONTAGION CENSUS ACCEPTED — ABSENT, AND THE pg FAMILY CHARTERED (2026-08-16, chair, vetoable; evide
§139	5171	TRAILER-FABLE	Fable 5	2a932a455		§139 · THE pg FAMILY BUILD ORDERED — AND ITS TWO BLOCKING SITTINGS HELD IN THIS ACT (owner, 2026-08-16: "Compr
§140	5202	TRAILER-FABLE	Fable 5	83aa8befb		§140 · THE LAST TWO LEVERS RATIFIED (owner, 2026-08-16: "do it both!"; both live in this sitting)
§141	5227	TRAILER-FABLE	Fable 5	6017fa9e6		§141 · THE SOAK EFFICIENCY LAWS (2026-08-16, chair on the owner's question, vetoable; the harness work joins t
§142	5259	TRAILER-FABLE	Fable 5	92037ffb9		§142 · TE25's TWO TRAINS COLLECTED-IN-STACK; TC24's TWO STRUCTURAL CATCHES RULED (2026-08-16, chair, vetoable;
