6 | VERIFIED_VERBATIM |  | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | terminology consistency (edition-specific bans) | Wizards of the Coast, D&D Style Guide v1.04a | Q=We have abandoned that practice. | TW=We have abandoned that practice. | CLAIM=5e abandoned the 3E/4E use of 'result' for the number rolled and 4E's 'save' for a successful saving throw; 'magic item' never 'magical item'; 'deals 10 fire damage' not 'points of damage'; 'hit point maximum' not 'maximum hit points'. | NOTE=The sentence appears twice, verbatim, once for each abandonment: under 'Saving Throws' ('In 4E, we used "save" as a synonym for "successful saving throw." We have abandoned that practice.') and under 
21 | VERIFIED_VERBATIM | FULL | academic | analoggamestudies.org | verdicts-dnd-chunk-01.json | DM preference for boxed text (designer poll) | Brian McKenzie, Analog Game Studies, 2023-12-18 | Q=occasional boxed text | TW=The results were 59.5% desired “occasional boxed text,” 34.4% “lots of boxed text,” and only 6% of respondents did not want any boxed text. | CLAIM=A Jeremy Crawford Twitter poll cited by McKenzie found 59.5% of DMs prefer occasional boxed text, 34.4% want lots, and about 6% want none. | NOTE=All three figures and the phrase 'occasional boxed text' verbatim. Attribution confirmed: 'A Twitter poll by D&D's current lead rules designer Jeremy Crawford saw 2,248 replies to the question “How mu
22 | VERIFIED_VERBATIM | FULL | academic | books.google.com | verdicts-dnd-chunk-01.json | read-aloud text function and NPC action | Jennifer Grouling Cover, The Creation of Narrative in Tabletop Role-Playing Games (McFarla | Q=read aloud text that the DM is instructed to read | TW=read aloud text that the DM is instructed to read to the players. Often these passages describe the location, but sometimes they are also used to describe the action of NPCs | CLAIM=Grouling Cover describes module read-aloud text as passages the DM is instructed to read that usually describe location but sometimes narrate NPC action, and likens it to a videogame cut-scene. | NOTE=Google Books snippet for p.64 of Cover's book carries the quoted fragment word for word plus the location/NPC-action distinction. The cut-scene comparison is on the adjacent snippets: p.65 '... read a
30 | VERIFIED_VERBATIM |  | academic | montecook.substack.com | verdicts-dnd-i30-44.json | Gygaxian voice (designer analysis) | Monte Cook, 'How you say it', Substack, 2021-07-27 | Q=the passive voice a lot, the occasional stream-of-consciousness digressions | TW=using the passive voice a lot, the occasional stream-of-consciousness digressions | CLAIM=Monte Cook characterises AD&D's house voice as heavy passive voice, stream-of-consciousness digressions, an advanced vocabulary and an authoritative, treatise-like tone that legitimised the hobby. | NOTE=Live fetch 200. Quote is word for word in Cook's own sentence, which continues 'an advanced vocabulary (I was a 14-year-old who used terms like "weal or woe" because of Gary), and a very authoritative
34 | VERIFIED_VERBATIM |  | academic | en.wikipedia.org | verdicts-dnd-i30-44.json | 1979 DMG idiosyncrasy (monograph via Wikipedia) | Wikipedia, 'Dungeon Master's Guide' (citing Horvath 2023, Wieck 1989, Taylor/Black Gate) | Q=strange and deeply idiosyncratic | TW=The Dungeon Master's Guide is strange and deeply idiosyncratic | CLAIM=Stu Horvath (MIT Press, 2023) calls the 1979 DMG strange and deeply idiosyncratic, a singular authorial vision; Wieck (1989) says the 2e DMG became as much advice as manual; Taylor notes the 5e DMG spends 127 pages teaching a novice DM. | NOTE=Wikipedia wikitext via Special:Export. Quote word for word inside the Horvath quotation, cited to Monsters, Aliens, and Holes in the Ground (MIT Press, 2023, p. 58); continues 'Gygax expresses in it a
35 | VERIFIED_VERBATIM |  | academic | en.wikipedia.org | verdicts-dnd-i30-44.json | coherence vs ambiguity across editions | Wikipedia, 'Player's Handbook' | Q=an unrelenting wall of text | TW=the spell section was an unrelenting wall of text | CLAIM=Wikipedia's PHB synthesis records Turnbull (1978) calling OD&D 'ambiguous and muddled' against the coherent AD&D PHB, Schick (1991) on 2e spell descriptions bloating past 100 pages, Kelly (2014) on more polished writing, and Abbott (2024) on the 2014 spell cha | NOTE=Wikipedia wikitext via Special:Export. Quote word for word (Benjamin Abbott, GamesRadar+, August 20 2024, about the 2014 edition). Turnbull element verbatim: 'whereas the original rules are ambiguous 
36 | VERIFIED_VERBATIM |  | academic | en.wikipedia.org | verdicts-dnd-i30-44.json | bestiary register | Wikipedia, 'Monster Manual' (citing Švelch, Turnbull) | Q=medieval bestiaries, only with more precise figures | TW=modeled after medieval bestiaries, only with more precise figures | CLAIM=Games scholar Jaroslav Švelch sees the Monster Manual as modelled on medieval bestiaries but with precise figures; Turnbull praised its explanatory text for amplifying the statistics. | NOTE=Wikipedia wikitext via Special:Export. Quote word for word: 'Games scholar Jaroslav Svelch saw the Monster Manual modeled after "medieval bestiaries, only with more precise figures"' (Monster Culture 
40 | VERIFIED_VERBATIM |  | academic | en.wikipedia.org | verdicts-dnd-i30-44.json | unreliable in-character narrator | Wikipedia, 'Volo's Guide to Monsters' (citing Kunzelman, Furniss) | Q=having Volo write the guide means that he can be wrong | TW=having Volo write the guide means that he can be wrong | CLAIM=Kunzelman (Paste) reads Volo's authorship as a deliberate device letting the sourcebook include rumor and error, and Furniss praises its marriage of narrative and mechanical information. | NOTE=Wikipedia wikitext via Special:Export. Quote word for word (the source has wiki italic markup around 'wrong', which renders identically). Kunzelman/Paste element supported: 'Volo is a device through w
41 | VERIFIED_SUBSTANCE |  | academic | en.wikipedia.org | verdicts-dnd-i30-44.json | adventure-as-read-through experience | Wikipedia, 'Curse of Strahd' (citing Bristol, Jones) | Q=like reading a choose-your-own-adventure book front to back | TW=like reading a choose-your-own-adventure book from front to back | CLAIM=A GeekDad reviewer cited on Wikipedia says reading Curse of Strahd front to back is like reading a choose-your-own-adventure book, and Black Gate calls it a setting manual and adventure in one. | NOTE=Wikipedia wikitext via Special:Export. NOT verbatim: the claim's quote drops 'from'. The page reads 'it was a bit like reading a choose-your-own-adventure book from front to back, rather than followin
42 | VERIFIED_VERBATIM |  | academic | en.wikipedia.org | verdicts-dnd-i30-44.json | 3e terminology intelligibility | Wikipedia, 'Editions of Dungeons & Dragons' (citing Torner) | Q=immediately intelligible to all who might play it | TW=terminology and choices should be immediately intelligible to all | CLAIM=Evan Torner, cited on Wikipedia, describes 3e's design intent as Eurogame-style elegance in which terminology and choices should be immediately intelligible. | NOTE=Wikipedia wikitext via Special:Export. Quote word for word inside Torner's sentence: 'D&D 3e and 3.5e bear the influence of Eurogame-style elegant design: that the terminology and choices in the game 
43 | VERIFIED_VERBATIM |  | academic | hipstersanddragons.com | verdicts-dnd-i30-44.json | 2014 vs 2024: defined-term ambiguity | Duncan Rhodes, Hipsters & Dragons, 2025-03-10 | Q=just being used in their normal sense | TW=just being used in their normal sense | CLAIM=Rhodes argues the 2014 PHB left DMs to guess whether words were ordinary or mechanical, and that the 2024 PHB fixes this by capitalising game mechanics and adding an A–Z Rules Glossary. | NOTE=Live site refused with HTTP 403; verified through the Wayback Machine snapshot 20251219191134 of the same URL. Quote word for word under heading '8. Capitalising Game Mechanics In The Text': 'It reall
44 | VERIFIED_VERBATIM |  | academic | dndbeyond.com | verdicts-dnd-i30-44.json | 2024 terminology renames | D&D Beyond staff, 'Updates in the Player's Handbook (2024)', 2024-09-03 | Q=Magic action | TW=Cast a Spell action -> Magic action | CLAIM=The official 2024 PHB update renames race to species, 'Cast a Spell action' to 'Magic action', Inspiration to 'Heroic Inspiration', 'Use an Object' to 'Utilize action', folds shoving into Unarmed Strike, and adds glossary entries such as Ally, Enemy, Bloodied  | NOTE=Live fetch 200. 'Magic action' word for word in the Updated Terminology table, which also carries every other rename in the claim: Race -> Species, Cast a Spell action -> Magic action, Inspiration -> 
45 | VERIFIED_VERBATIM |  | academic | screenrant.com | verdicts-dnd-i45-48.json | 2024 glossary layout | Ben Brosofsky, Screen Rant, 2024-09-21 | Q=the lack of a dedicated section for Conditions | TW=the lack of a dedicated section for Conditions | CLAIM=Screen Rant notes the 2024 Rules Glossary de-emphasises art with monochrome scenes to prioritise text and lacks a dedicated Conditions section. | NOTE=Quote appears word for word: 'Tossing so much into one glossary does come with certain drawbacks, like the need to reference the back of the book more frequently while learning the basic rules and the
46 | VERIFIED_VERBATIM |  | academic | thefandomentals.com | verdicts-dnd-i45-48.json | 2025 Monster Manual lore compression | Dan Arndt, The Fandomentals, 2025-01-28 | Q=three paragraphs and a table to roll on | TW=three paragraphs and a table to roll on | CLAIM=Arndt reports the 2025 Monster Manual cuts iconic monsters' multi-page lore to at most three paragraphs and a roll table, adds a subtitle epithet to every monster, renames phylactery to 'spirit jar', and reads as a utilitarian encyclopedia. | NOTE=Quote verbatim: 'Creatures like Aboleths, Beholders, and Mind Flayers from multi-page descriptions that show you their backstory and place in the world to, at best, three paragraphs and a table to rol
49 | VERIFIED_VERBATIM |  | craft | adventurersleague.wordpress.com | verdicts-dnd-i49-63.json | house style guide (existence and scope) | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.04a (©2013; PDF hos | Q=D&D Style Guide: Writing and Editing | TW=D&D Style Guide: Writing and Editing; Version 1.04a ©2013 | CLAIM=A written WotC house style guide exists — 'D&D Style Guide: Writing and Editing' v1.04a (©2013), built on Chicago 16 and Merriam-Webster 11 — and it governs typography, numerals, verb collocations, capitalization and tone, with no rule at all on boxed/read-alo | NOTE=Raw PDF fetched (HTTP 200, 9 pp., pypdf extraction). p.1 carries the title verbatim, 'Version 1.04a ©2013 Wizards of the Coast', and the two named foundations: 'The Chicago Manual of Style, 16th editi
50 | VERIFIED_VERBATIM |  | craft | cyborgsandmages.wordpress.com | verdicts-dnd-i49-63.json | house style guide (revision v1.08a) | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.08a (©2018, 'update | Q=Avoid overusing sidebars. | TW=Avoid overusing sidebars. | CLAIM=A later revision, v1.08a (©2018, circulated as 'updated January 2019'), keeps the same structure (Chicago 17 now) and adds headings hierarchy, sidebar, gender-suffix, 'fellowship vs party' and edition-naming rules; it still contains nothing on boxed text or re | NOTE=Raw PDF fetched (HTTP 200, 11 pp.). Quote appears verbatim as the opening of the new 'Sidebars' section (p.3). 'Version 1.08a ©2018 Wizards of the Coast' on every page; 'The Chicago Manual of Style, 1
52 | VERIFIED_VERBATIM |  | craft | sageadvice.eu | verdicts-dnd-i49-63.json | house style guide (public release window) | D&D Sage Advice (sageadvice.eu) — 'Creators: Style Guide is now on DMsGuild!' (@dms_guild, | Q=An updated #DnD House Style Guide is now on #DMsGuild | TW=An updated #DnD House Style Guide is now on #DMsGuild | CLAIM=On 2019-02-22 the DMs Guild account announced an updated House Style Guide listing for creators, noting it adds tips on gender-neutral language. | NOTE=Raw page fetched (HTTP 200). The embedded tweet reads verbatim: 'An updated #DnD House Style Guide is now on #DMsGuild, creators! Among other changes, this guide includes tips on achieving gender neut
54 | VERIFIED_VERBATIM |  | craft | half-cover.com | verdicts-dnd-i49-63.json | house style guide (community says none published) | Half-Cover — How to Follow the Writing Style of D&D (Michael, 2017-09-02) | Q=has not yet published the official style guide | TW=has not yet published the official style guide | CLAIM=Community writers on either side of that window report no official guide: Half-Cover (2017) says WotC 'has not yet published the official style guide', Old Dungeon Master (2015) compiled one from 3.5/4e guides ('Perhaps they have one and I just couldn't find i | NOTE=All three sources the sentence names were fetched raw and each quote is word for word. Half-Cover (fetched HTTP 200; page footer '2 Sep 2017 / By: Michael'): 'unfortunately, to my knowledge Wizards of
57 | VERIFIED_VERBATIM | FULL | craft | media.wizards.com | verdicts-dnd-i49-63.json | house style guide (organized-play distribution) | Wizards of the Coast — D&D Adventurers League Dungeoncraft Design Guide: The Wild Beyond t | Q=You should be familiar with the D&D Style Guide | TW=You should be familiar with the D&D Style Guide (also provided) as well. | CLAIM=The official Adventurers League Dungeoncraft guide tells authors they must use the provided template and 'formatting standards as presented in the template' and be familiar with the D&D Style Guide, which it says is also provided. | NOTE=Raw PDF fetched from media.wizards.com (HTTP 200, 10 pp.). p.1 'TECHNICAL INFORMATION': 'A template is provided for use, including the Community Created D&D Adventurers League logo. You must use this 
58 | VERIFIED_VERBATIM |  | craft | enworld.org | verdicts-dnd-i49-63.json | house style guide (organized-play distribution) | EN World — D&D Adventurers League Unveils New DungeonCraft Document with Planescape In Foc | Q=more guiderails than your usual table does | TW=more guiderails than your usual table does | CLAIM=The 2023 Dungeoncraft Design Guide (effective 2023-11-09) again requires a specific template and familiarity with the D&D Style Guide; a poster frames this as organized play needing 'more guiderails than your usual table does'. | NOTE=Raw thread fetched (HTTP 200; thread starter Raddu, Nov 13 2023). Article body: 'The newly released Dungeoncraft Design Guide, effective from November 9th, 2023, provides comprehensive instructions an
60 | VERIFIED_VERBATIM | FULL | craft | adventurersleague.wordpress.com | verdicts-dnd-i49-63.json | second person in rules text | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.04a (©2013; PDF hos | Q=writing in the second person | TW=In rules text, we often achieve gender neutrality by writing in the second person. | CLAIM=The guide's stated reason for second person in rules text is gender neutrality: 'In rules text, we often achieve gender neutrality by writing in the second person.' | NOTE=Raw PDF, p.2, under 'Gender' → 'Achieving Gender Neutrality'. The sentence appears exactly as the claim renders it, and it is the guide's only statement about second person, so 'the guide's stated rea
62 | VERIFIED_VERBATIM |  | craft | adventurersleague.wordpress.com | verdicts-dnd-i49-63.json | verb–object collocations | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.04a (©2013; PDF hos | Q=You make a saving throw, and it succeeds or fails | TW=You make a saving throw, and it succeeds or fails. | CLAIM=The guide fixes the game's verb idiom in a list: you cast a spell, deal damage, make a saving throw that succeeds or fails, make an attack that hits or misses, take damage, regain hit points, score a critical hit, use a feature. | NOTE=Raw PDF p.6, 'Verb Usage' list. Every collocation in the claim is a line of that list, verbatim: 'You cast a spell.' / 'You deal damage.' / 'You make a saving throw, and it succeeds or fails.' / 'You 
63 | VERIFIED_VERBATIM | FULL | craft | adventurersleague.wordpress.com | verdicts-dnd-i49-63.json | 'must succeed on' vs 'must make' | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.04a (©2013; PDF hos | Q=You must succeed on a DC 15 Strength check | TW=You must succeed on a DC 15 Strength check to clamber up the wall. | CLAIM=Common Pitfalls: never write 'must make a DC 15 Strength check' unless success and failure are described next; the canonical form is 'must succeed on'. | NOTE=Raw PDF p.6, 'Common Pitfalls' → 'Making a Roll vs. Succeeding on One', verbatim: 'Don't mistake making an ability check, a saving throw, or other roll with succeeding on it. The following sentence ge
64 | VERIFIED_VERBATIM |  | craft | koboldpress.com | verdicts-dnd-i64-78.json | Ability (Skill) check pattern | Kobold Press — Designing with Style: Ability Checks and Saving Throws (Hannah Rose, 2019-0 | Q=always written as [Ability Score] ([Skill]) | TW=skill checks are always written as [Ability Score] ([Skill]) | CLAIM=Third-party style guidance derived from the WotC guide: skill checks are always written as '[Ability Score] ([Skill])', outcomes are stated for success and failure, and multi-skill checks name at most two skills for brevity. | NOTE=Raw HTML fetched (200, 529KB). Quote verbatim. All three limbs on page: the [Ability Score] ([Skill]) rule; success/failure outcome language (Option 1/Option 2, 'On a success... On a failure...'); and
65 | VERIFIED_VERBATIM |  | craft | adventurersleague.wordpress.com | verdicts-dnd-i64-78.json | numerals in rules vs words in narrative | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.04a (©2013; PDF hos | Q=the characters slept for six hours | TW=After winning the fight, the characters slept for six hours. | CLAIM=Rules text uses numerals for any game quantity ('regains 3 hit points', 'lasts for 1 round', 'The room is 20 feet square') while narrative time and distance are spelled out ('slept for six hours', 'fifty miles apart'). | NOTE=PDF fetched (200, 1.24MB) and text-extracted with pypdf; 9 pages read in full. Quote verbatim on p.5 (line-broken in the PDF, contiguous when whitespace-normalized). Every example in the claim is verb
66 | VERIFIED_VERBATIM | FULL | craft | adventurersleague.wordpress.com | verdicts-dnd-i64-78.json | abandoned 4e terms ('save', 'result') | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.04a (©2013; PDF hos | Q=We have abandoned that practice | TW=In 4E, we used "save" as a synonym for "successful saving throw." We have abandoned that practice. | CLAIM=The guide explicitly retires 4e usages: 'save' as 'successful saving throw' and 'result' as 'the number rolled on a die' — 'We have abandoned that practice.' | NOTE=Quote 'We have abandoned that practice' appears verbatim TWICE on p.6, once in each named place. Minor precision point, not an unsupported limb: the guide attributes the 'result' usage to '3E and 4E',
67 | VERIFIED_VERBATIM | FULL | craft | adventurersleague.wordpress.com | verdicts-dnd-i64-78.json | 'points of damage' banned | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.04a (©2013; PDF hos | Q=Avoid referring to points of damage | TW=Avoid referring to points of damage. ... And "magic item" and its variants should never be "magical item." | CLAIM=Write 'deals 10 fire damage', not '10 points of fire damage'; write 'hit point maximum', not 'maximum hit points'; 'magic item' is never 'magical item'. | NOTE=All three limbs verbatim. p.6 'Points of Damage': 'write, "The spell deals 10 fire damage," not "The spell deals 10 points of fire damage."'; p.7 'Hit Point Maximum': 'When you write about a creature'
68 | VERIFIED_SUBSTANCE |  | craft | adventurersleague.wordpress.com | verdicts-dnd-i64-78.json | capitalize / italicize term classes | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.04a (©2013; PDF hos | Q= | TW=the wall of fire spell produces a wall of fire | CLAIM=Capitalize ability scores, Armor Class, class features, Difficulty Class, feats, languages, planes, skills, racial/monster traits; italicize spell and magic-item names as titles (the spell wall of fire produces a wall of fire). | NOTE=Claim carries no quote field, and its parenthetical inverts the guide's word order (guide: 'the wall of fire spell produces a wall of fire'; claim: 'the spell wall of fire produces a wall of fire') — 
72 | VERIFIED_VERBATIM | FULL | craft | adventurersleague.wordpress.com | verdicts-dnd-i64-78.json | High Fantasy tone rule | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.04a (©2013; PDF hos | Q=ring wraiths aren't used for gags | TW=there are moments of humor with the hobbits, but ring wraiths aren't used for gags | CLAIM=The only tone guidance in the guide: D&D is high fantasy about small teams; humor or tragedy is fine if it doesn't overtake the tone, tested against Lord of the Rings / Game of Thrones — 'ring wraiths aren't used for gags'. | NOTE=Quote verbatim on p.5, section 'High Fantasy'. Limbs verbatim: 'A typical D&D story or adventure is part of the high fantasy subgenre'; 'D&D is about small bands of characters embarking on adventures 
74 | VERIFIED_VERBATIM |  | craft | cyborgsandmages.wordpress.com | verdicts-dnd-i64-78.json | edition naming (v1.08a) | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.08a (©2018, 'update | Q= | TW=We write "fifth edition," for instance, not "5th Edition." | CLAIM=v1.08a switches from '5th Edition' to lowercase 'fifth edition', preferably as a modifier ('the fifth edition Dungeon Master's Guide'). | NOTE=Claim carries no quote field, but all three of its inline quoted strings are verbatim on pp.1-2: 'In a departure from previous usage, we spell out and lowercase references to editions of the roleplayi
76 | VERIFIED_VERBATIM | FULL | craft | cyborgsandmages.wordpress.com | verdicts-dnd-i64-78.json | headings and sidebars (v1.08a) | Wizards of the Coast — D&D Style Guide: Writing and Editing, Version 1.08a (©2018, 'update | Q= | TW=The best sidebars can appear anywhere on a page and still make sense. | CLAIM=v1.08a requires descending the heading hierarchy without skipping levels, forbids inline subheads used merely for emphasis, and says the best sidebars 'can appear anywhere on a page and still make sense'. | NOTE=The claim's inline quotation is verbatim on p.3. Limbs verbatim: 'Work your way down the heading hierarchy without skipping steps'; 'don't use an inline subhead when you simply want to emphasize a wor
78 | VERIFIED_VERBATIM | FULL | craft | half-cover.com | verdicts-dnd-i64-78.json | formulaic feature wording | Half-Cover — How to Follow the Writing Style of D&D (Michael, 2017-09-02) | Q=a strict style guide that all D&D sections adhere to | TW=a strict style guide that all D&D sections adhere to when explaining mechanics | CLAIM=Half-Cover infers from the books that spells and saving throws use 'very specific wording' and that features always spell out interactions (e.g., already having a cantrip), with fixed section order (starting equipment before class features). | NOTE=Raw HTML fetched (200, 60KB). Quote verbatim. All limbs verbatim: 'This is why spells or saving throws have very specific wording'; 'the feature will always clarify what happens if you already have th
80 | VERIFIED_VERBATIM |  | craft | blogofholding.com | verdicts-dnd-i79-93.json | 2024 capitalization map | Blog of Holding — Unofficial D&D 2024 Style Guide (Paul Hughes, 2025-01-07) | Q= | TW=Capitalized list includes Bonus Action, D20 Test; not capitalized includes feat | CLAIM=In 2024 text, Bonus Action, Advantage/Disadvantage, Hit Points, Armor Class, Death Saving Throw, Proficiency Bonus, Challenge Rating and D20 Test are capitalized while ability, action, saving throw, skill, spell and feat stay lowercase; monster-name capitaliza | NOTE=Raw page read via curl. All eight capitalized terms appear verbatim in the 'Capitalized:' list (Advantage/Disadvantage, Armor Class, Bonus Action, Challenge Rating, D20 Test, Death Saving Throw, Hit P
82 | VERIFIED_VERBATIM |  | craft | olddungeonmaster.com | verdicts-dnd-i79-93.json | standardized condition phrasing (2024) | Dungeon Master Assistance — D&D 5.5 PHB Review: Playing the Game and the Rules Glossary (R | Q=Your Speed is 0 and can't increase | TW=Your Speed is 0 and can't increase | CLAIM=2024 condition text is standardized to mechanical statements — 'Your Speed is 0 and can't increase' replaces 2014's 'can't move' — and 'Utilize', 'Study', 'Influence' and 'D20 Test' become defined capitalized terms. | NOTE=Raw page read via curl. Quote verbatim: 'Any condition that had "can't move", was changed to "Your Speed is 0 and can't increase."' Standardization further supported by 'can't speak' being consolidate
